tanggal,arena_id,view,quote,reply,participant,posting,expression,polling,bookmark,survey,quis,score
2017-10-02 06:00:00,17,0,0,0,1,1,0,0,0,0,0,2
2017-10-02 06:00:00,29,0,0,0,1,1,1,0,0,0,0,3
2017-10-02 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-03 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-03 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-04 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-04 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-05 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-05 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-06 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-06 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-07 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-07 12:00:00,14,0,0,0,1,2,0,0,0,0,0,3
2017-10-07 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-08 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-08 12:00:00,29,0,0,0,2,3,2,0,0,0,0,7
2017-10-09 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-09 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-09 12:00:00,56,0,0,0,1,1,0,0,0,0,0,2
2017-10-10 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-10 12:00:00,29,0,0,0,2,2,1,0,0,0,0,5
2017-10-10 18:00:00,29,0,0,0,1,1,1,0,0,0,0,3
2017-10-10 18:00:00,52,0,0,20,4,76,0,1,0,0,0,101
2017-10-11 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-11 06:00:00,17,0,0,0,1,1,1,0,0,0,0,3
2017-10-11 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-12 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-10-12 12:00:00,29,0,0,1,2,2,0,0,0,0,0,5
