tanggal,arena_id,view,quote,reply,participant,posting,expression,polling,bookmark,survey,quis,score
2017-09-21,35,0,0,0,1,1,0,0,0,0,0,2
2017-09-21,45,0,0,0,1,2,0,0,0,0,0,3
2017-09-21,14,0,0,0,1,2,0,0,0,0,0,3
2017-09-22,12,0,0,0,1,1,2,0,0,0,0,4
2017-09-22,29,0,0,0,1,2,0,0,0,0,0,3
2017-09-23,29,0,0,0,1,3,0,0,0,0,0,4
2017-09-24,14,0,0,0,1,1,0,0,0,0,0,2
2017-09-24,29,0,0,0,2,3,1,0,0,0,0,6
2017-09-25,29,0,0,0,1,2,0,0,0,0,0,3
2017-09-26,29,0,0,0,1,2,0,0,0,0,0,3
2017-09-27,17,0,0,0,1,1,0,0,0,0,0,2
2017-09-27,29,0,0,0,1,2,0,0,0,0,0,3
2017-09-27,45,0,0,0,1,1,0,0,0,0,0,2
2017-09-28,29,0,0,0,1,2,0,0,0,0,0,3
2017-09-28,14,0,0,0,1,1,0,0,0,0,0,2
2017-09-29,29,0,0,0,1,2,0,0,0,0,0,3
2017-09-30,29,0,0,0,1,2,0,0,0,0,0,3
